2024-06-29T10:05:58.9833530+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: M3NYySy9IQz1S3mYjTyM6A
2024-06-29T10:05:58.9834092+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.9834915+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.9903134+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: M3NYySy9IQz1S3mYjTyM6A
2024-06-29T10:05:58.9905184+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.9905949+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.9951621+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: M3NYySy9IQz1S3mYjTyM6A
2024-06-29T10:05:58.9952016+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.9954875+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:59.0004778+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: M3NYySy9IQz1S3mYjTyM6A
